Academic Year,Private Nonprofit 4-Year,Public 4-Year,,
1972-05-25 00:00:00.00,"$18,650 ","$8,980 ",,
1973-05-25 00:00:00.00,"$19,110 ","$9,580 ",,
1974-05-25 00:00:00.00,"$18,830 ","$9,360 ",,
1975-05-25 00:00:00.00,"$17,940 ","$8,650 ",,
1976-05-25 00:00:00.00,"$17,590 ","$8,510 ",,
1977-05-25 00:00:00.00,"$18,060 ","$8,800 ",,
1978-05-25 00:00:00.00,"$18,010 ","$8,670 ",,
1979-05-25 00:00:00.00,"$18,180 ","$8,480 ",,
1980-05-25 00:00:00.00,"$17,760 ","$8,260 ",,
1981-05-25 00:00:00.00,"$17,510 ","$7,990 ",,
1982-05-25 00:00:00.00,"$17,910 ","$8,120 ",,
1983-05-25 00:00:00.00,"$18,950 ","$8,500 ",,
1984-05-25 00:00:00.00,"$20,130 ","$8,900 ",,
1985-05-25 00:00:00.00,"$21,030 ","$9,160 ",,
1986-05-25 00:00:00.00,"$21,390 ","$9,280 ",,
1987-05-25 00:00:00.00,"$23,310 ","$9,580 ",,
1988-05-25 00:00:00.00,"$23,820 ","$9,560 ",,
1989-05-25 00:00:00.00,"$25,490 ","$9,750 ",,
1990-05-25 00:00:00.00,"$26,160 ","$9,830 ",,
1991-05-25 00:00:00.00,"$26,780 ","$10,070 ",,
1992-05-25 00:00:00.00,"$26,990 ","$10,370 ",,
1993-05-25 00:00:00.00,"$27,720 ","$10,750 ",,
1994-05-25 00:00:00.00,"$28,350 ","$11,140 ",,
1995-05-25 00:00:00.00,"$28,810 ","$11,560 ",,
1996-05-25 00:00:00.00,"$29,530 ","$11,450 ",,
1997-05-25 00:00:00.00,"$30,300 ","$11,780 ",,
1998-05-25 00:00:00.00,"$31,250 ","$12,060 ",,
1999-05-25 00:00:00.00,"$32,480 ","$12,340 ",,
2000-05-25 00:00:00.00,"$33,390 ","$12,560 ",,
2001-05-25 00:00:00.00,"$33,350 ","$12,660 ",,
2002-05-25 00:00:00.00,"$34,830 ","$13,180 ",,
2003-05-25 00:00:00.00,"$35,780 ","$13,910 ",,
2004-05-25 00:00:00.00,"$36,720 ","$14,840 ",,
2005-05-25 00:00:00.00,"$37,580 ","$15,570 ",,
2006-05-25 00:00:00.00,"$38,110 ","$16,070 ",,
2007-05-25 00:00:00.00,"$38,830 ","$16,350 ",,
2008-05-25 00:00:00.00,"$39,790 ","$16,870 ",,
2009-05-25 00:00:00.00,"$39,810 ","$16,930 ",,
2010-05-25 00:00:00.00,"$42,190 ","$18,340 ",,
2011-05-25 00:00:00.00,"$43,340 ","$19,230 ",,
2012-05-25 00:00:00.00,"$43,550 ","$19,680 ",,
2013-05-25 00:00:00.00,"$44,620 ","$20,150 ",,
2014-05-25 00:00:00.00,"$45,430 ","$20,390 ",,
2015-05-25 00:00:00.00,"$46,170 ","$20,590 ",,
2016-05-25 00:00:00.00,"$47,640 ","$21,250 ",,
2017-05-25 00:00:00.00,"$48,830 ","$21,700 ",,
2018-05-25 00:00:00.00,"$49,750 ","$22,010 ",,
2019-05-25 00:00:00.00,"$49,650 ","$22,000 ",,
2020-05-25 00:00:00.00,"$50,360 ","$22,170 ",,
2021-05-25 00:00:00.00,"$50,770 ","$22,180 ",,