Academic Year,Public 4-Year,,,
1972-05-25 00:00:00.00,"$8,980 ",,,
1973-05-25 00:00:00.00,"$9,580 ",,,
1974-05-25 00:00:00.00,"$9,360 ",,,
1975-05-25 00:00:00.00,"$8,650 ",,,
1976-05-25 00:00:00.00,"$8,510 ",,,
1977-05-25 00:00:00.00,"$8,800 ",,,
1978-05-25 00:00:00.00,"$8,670 ",,,
1979-05-25 00:00:00.00,"$8,480 ",,,
1980-05-25 00:00:00.00,"$8,260 ",,,
1981-05-25 00:00:00.00,"$7,990 ",,,
1982-05-25 00:00:00.00,"$8,120 ",,,
1983-05-25 00:00:00.00,"$8,500 ",,,
1984-05-25 00:00:00.00,"$8,900 ",,,
1985-05-25 00:00:00.00,"$9,160 ",,,
1986-05-25 00:00:00.00,"$9,280 ",,,
1987-05-25 00:00:00.00,"$9,580 ",,,
1988-05-25 00:00:00.00,"$9,560 ",,,
1989-05-25 00:00:00.00,"$9,750 ",,,
1990-05-25 00:00:00.00,"$9,830 ",,,
1991-05-25 00:00:00.00,"$10,070 ",,,
1992-05-25 00:00:00.00,"$10,370 ",,,
1993-05-25 00:00:00.00,"$10,750 ",,,
1994-05-25 00:00:00.00,"$11,140 ",,,
1995-05-25 00:00:00.00,"$11,560 ",,,
1996-05-25 00:00:00.00,"$11,450 ",,,
1997-05-25 00:00:00.00,"$11,780 ",,,
1998-05-25 00:00:00.00,"$12,060 ",,,
1999-05-25 00:00:00.00,"$12,340 ",,,
2000-05-25 00:00:00.00,"$12,560 ",,,
2001-05-25 00:00:00.00,"$12,660 ",,,
2002-05-25 00:00:00.00,"$13,180 ",,,
2003-05-25 00:00:00.00,"$13,910 ",,,
2004-05-25 00:00:00.00,"$14,840 ",,,
2005-05-25 00:00:00.00,"$15,570 ",,,
2006-05-25 00:00:00.00,"$16,070 ",,,
2007-05-25 00:00:00.00,"$16,350 ",,,
2008-05-25 00:00:00.00,"$16,870 ",,,
2009-05-25 00:00:00.00,"$16,930 ",,,
2010-05-25 00:00:00.00,"$18,340 ",,,
2011-05-25 00:00:00.00,"$19,230 ",,,
2012-05-25 00:00:00.00,"$19,680 ",,,
2013-05-25 00:00:00.00,"$20,150 ",,,
2014-05-25 00:00:00.00,"$20,390 ",,,
2015-05-25 00:00:00.00,"$20,590 ",,,
2016-05-25 00:00:00.00,"$21,250 ",,,
2017-05-25 00:00:00.00,"$21,700 ",,,
2018-05-25 00:00:00.00,"$22,010 ",,,
2019-05-25 00:00:00.00,"$22,000 ",,,
2020-05-25 00:00:00.00,"$22,170 ",,,
2021-05-25 00:00:00.00,"$22,180 ",,,